"검색조건 - 사고년도:2015~2017; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2015010700100479,2015년 1월 7일 21시,수요일,서울특별시 서초구 우면동,중상사고,0,2,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,29세,상해없음,승용,남,27세,중상
2015010700100480,2015년 1월 7일 21시,수요일,서울특별시 도봉구 방학동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,승용,여,42세,경상
2015010700100500,2015년 1월 7일 22시,수요일,서울특별시 중구 신당동,중상사고,0,4,1,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,24세,중상
2015010700100502,2015년 1월 7일 22시,수요일,서울특별시 용산구 동빙고동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,42세,상해없음,승용,남,53세,경상
2015010700100503,2015년 1월 7일 22시,수요일,서울특별시 양천구 신월동,중상사고,0,1,1,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,25세,경상
2015010700100533,2015년 1월 7일 23시,수요일,서울특별시 송파구 가락동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,상해없음,원동기,남,32세,경상
2015010800100002,2015년 1월 8일 00시,목요일,서울특별시 용산구 용산동2가,경상사고,0,0,1,1,차대차 - 측면직각충돌,중앙선침범,건조,맑음,단일로 - 기타,이륜,남,22세,상해없음,승용,남,63세,경상
2015010800100057,2015년 1월 8일 05시,목요일,서울특별시 서대문구 홍제동,중상사고,0,2,0,0,차대차 - 정면충돌,중앙선침범,습기,흐림,단일로 - 기타,승용,남,33세,상해없음,화물,남,74세,중상
2015010800100065,2015년 1월 8일 06시,목요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,승용,남,34세,경상
2015010800100468,2015년 1월 8일 21시,목요일,서울특별시 중구 신당동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,29세,경상
2015010800100519,2015년 1월 8일 23시,목요일,서울특별시 영등포구 양평동3가,중상사고,0,2,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,32세,상해없음,승용,남,63세,중상
2015010900100003,2015년 1월 9일 00시,금요일,서울특별시 중랑구 중화동,경상사고,0,0,3,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,35세,상해없음,승합,남,29세,경상
2015010900100050,2015년 1월 9일 04시,금요일,서울특별시 마포구 서교동,중상사고,0,2,0,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,31세,상해없음,승용,남,29세,상해없음
2015010900100068,2015년 1월 9일 06시,금요일,서울특별시 강남구 개포동,경상사고,0,0,2,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,43세,경상
2015010900100477,2015년 1월 9일 20시,금요일,서울특별시 구로구 신도림동,중상사고,0,1,0,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,51세,중상,,,,
2015010900100544,2015년 1월 9일 22시,금요일,서울특별시 영등포구 양평동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,41세,상해없음,승용,남,40세,경상
2015011000100001,2015년 1월 10일 00시,토요일,서울특별시 종로구 운니동,경상사고,0,0,3,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,승용,남,64세,경상
2015011000100028,2015년 1월 10일 01시,토요일,서울특별시 광진구 중곡동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,51세,경상
2015011000100030,2015년 1월 10일 01시,토요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,28세,상해없음,승용,여,39세,경상
2015011000100032,2015년 1월 10일 01시,토요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31세,상해없음,화물,남,61세,상해없음
2015011000100061,2015년 1월 10일 02시,토요일,서울특별시 마포구 서교동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,남,26세,경상
2015011000100133,2015년 1월 10일 07시,토요일,서울특별시 강남구 청담동,경상사고,0,0,2,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,남,34세,경상
