"검색조건 - 사고년도:2014~2014; 사고지역:서울특별시 :: 전체 :: ; 사고내용:사망사고, 중상사고, 경상사고, 부상신고; 음주운전 사고",,,,,,,,,,,,,,,,,,,,,
사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2014010700100015,2014년 1월 7일 01시,화요일,서울특별시 강동구 길동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,31세,상해없음,승용,남,59세,중상
2014010700100045,2014년 1월 7일 04시,화요일,서울특별시 강남구 논현동,중상사고,0,1,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,이륜,남,24세,상해없음,승용,남,31세,중상
2014010700100048,2014년 1월 7일 05시,화요일,서울특별시 마포구 서교동,경상사고,0,0,1,1,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,보행자,남,20세,경상
2014010700100426,2014년 1월 7일 22시,화요일,서울특별시 마포구 대흥동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,화물,남,47세,상해없음,승용,남,32세,경상
2014010800100020,2014년 1월 8일 01시,수요일,서울특별시 영등포구 신길동,중상사고,0,1,0,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,46세,상해없음,승용,남,25세,중상
2014010800100022,2014년 1월 8일 01시,수요일,서울특별시 송파구 마천동,경상사고,0,0,1,0,차대사람 - 기타,불법유턴,건조,맑음,교차로 - 교차로안,승용,남,38세,상해없음,보행자,남,18세,경상
2014010800100052,2014년 1월 8일 04시,수요일,서울특별시 광진구 화양동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,22세,상해없음,승용,남,65세,경상
2014010800100229,2014년 1월 8일 14시,수요일,서울특별시 강서구 화곡동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,64세,상해없음,보행자,여,74세,경상
2014010800100395,2014년 1월 8일 20시,수요일,서울특별시 영등포구 신길동,경상사고,0,0,1,0,차대차 - 측면직각충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,41세,상해없음,승용,남,54세,경상
2014010800100416,2014년 1월 8일 21시,수요일,서울특별시 마포구 공덕동,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,49세,상해없음,승용,남,29세,중상
2014010800100435,2014년 1월 8일 22시,수요일,서울특별시 광진구 자양동,중상사고,0,1,3,1,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 교량,승용,남,46세,상해없음,승용,여,31세,중상
2014010800100467,2014년 1월 8일 23시,수요일,서울특별시 광진구 광장동,중상사고,0,1,0,1,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,43세,상해없음,승용,남,22세,중상
2014010900100002,2014년 1월 9일 00시,목요일,서울특별시 종로구 종로2가,중상사고,0,1,0,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,53세,상해없음,승용,남,49세,상해없음
2014010900100003,2014년 1월 9일 00시,목요일,서울특별시 광진구 구의동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,39세,상해없음,승용,남,27세,경상
2014010900100005,2014년 1월 9일 00시,목요일,서울특별시 영등포구 양평동3가,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,남,46세,상해없음
2014010900100007,2014년 1월 9일 00시,목요일,서울특별시 구로구 온수동,경상사고,0,0,3,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,57세,경상
2014010900100024,2014년 1월 9일 01시,목요일,서울특별시 영등포구 여의도동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,43세,상해없음,승용,남,37세,경상
2014010900100051,2014년 1월 9일 05시,목요일,서울특별시 중랑구 묵동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,33세,상해없음,승용,남,50세,경상
2014010900100058,2014년 1월 9일 06시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 측면직각충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,화물,남,51세,경상
2014010900100097,2014년 1월 9일 08시,목요일,서울특별시 노원구 상계동,부상신고사고,0,0,0,1,차량단독 - 공작물충돌,기타,건조,맑음,교차로 - 교차로부근,승용,남,39세,부상신고,,,,
2014010900100189,2014년 1월 9일 12시,목요일,서울특별시 중랑구 면목동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 횡단보도부근,승용,여,46세,상해없음,승용,남,70세,경상
2014010900100442,2014년 1월 9일 21시,목요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,단일로 - 기타,이륜,남,52세,경상,승용,남,35세,경상
2014010900100444,2014년 1월 9일 21시,목요일,서울특별시 강서구 가양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,승용,남,43세,경상
2014011000100018,2014년 1월 10일 01시,금요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,32세,경상
2014011000100028,2014년 1월 10일 02시,금요일,서울특별시 동작구 사당동,경상사고,0,0,2,0,차대차 - 측면직각충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,승용,남,59세,경상
2014011000100029,2014년 1월 10일 02시,금요일,서울특별시 강남구 논현동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,35세,상해없음,승용,여,29세,경상
2014011000100496,2014년 1월 10일 23시,금요일,서울특별시 구로구 신도림동,경상사고,0,0,3,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,49세,상해없음,승용,여,58세,경상
2014011100100020,2014년 1월 11일 01시,토요일,서울특별시 은평구 녹번동,경상사고,0,0,2,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,41세,상해없음,승용,남,43세,경상
2014011100100023,2014년 1월 11일 01시,토요일,서울특별시 강남구 도곡동,중상사고,0,1,0,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,26세,상해없음,승용,남,57세,중상
2014011100100040,2014년 1월 11일 02시,토요일,서울특별시 서대문구 홍제동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,화물,남,41세,경상
2014011100100062,2014년 1월 11일 03시,토요일,서울특별시 송파구 잠실동,중상사고,0,1,1,0,차대차 - 측면직각충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,52세,경상
2014011100100108,2014년 1월 11일 06시,토요일,서울특별시 광진구 화양동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,승용,남,59세,경상
2014011100100128,2014년 1월 11일 07시,토요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 추돌 - 주정차중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,57세,경상
2014011100100129,2014년 1월 11일 07시,토요일,서울특별시 강남구 개포동,중상사고,0,1,1,0,차대차 - 추돌 - 주정차중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,27세,상해없음,승용,남,52세,중상
2014011100100286,2014년 1월 11일 14시,토요일,서울특별시 강남구 논현동,경상사고,0,0,3,0,차대차 - 추돌 - 진행중,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,28세,상해없음,승용,남,63세,경상
2014011100100287,2014년 1월 11일 14시,토요일,서울특별시 송파구 송파동,경상사고,0,0,1,0,차대차 - 추돌 - 진행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,승용,여,26세,경상
2014011100100344,2014년 1월 11일 17시,토요일,서울특별시 서대문구 홍제동,중상사고,0,1,0,0,차대차 - 측면직각충돌,기타,건조,맑음,단일로 - 횡단보도상,원동기,남,73세,상해없음,원동기,남,57세,중상
2014011100100461,2014년 1월 11일 22시,토요일,서울특별시 서초구 잠원동,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,,,,
2014011200100021,2014년 1월 12일 01시,일요일,서울특별시 성북구 삼선동1가,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,이륜,여,46세,중상
2014011200100037,2014년 1월 12일 02시,일요일,서울특별시 성북구 길음동,경상사고,0,0,3,0,차대차 - 측면직각충돌,안전거리미확보,건조,맑음,기타 - 기타,승용,남,31세,상해없음,승용,남,49세,경상
